sector,site,stack,ktCO2,xCO2,energy_strategy,latitude,longitude,hub,km_hub,land_transport,sea_transport,ccgt_capacity
waste,Tyseley,Tyseley-waste,355.74,0.12,Waste-HRSG,52.460134,-1.843213,Bristol,120.6215589369456,truck,ship to Hynet,
waste,Wilton 11,Wilton 11-waste,404.74,0.12,Waste-HRSG,54.587267,-1.12862,Teeside,3.7852278185710175,pipeline,,
ccgt,Ballylumford,Ballylumford-ccgt,1098.1275788159999,0.04,LP steam,54.858047566704045,-5.7737053226608275,Dublin,174.9215641033434,truck,,616.0
ccgt,Carrington CCGT,Carrington CCGT-ccgt,1761.6960277500002,0.04,LP steam,53.43343261982753,-2.4035392747522497,Hynet,61.269074631343955,truck,,884.0
ccgt,Connahs Quay Power Station,Connahs Quay Power Station-ccgt,1371.5286758940001,0.04,LP steam,53.23328083346329,-3.091363380023658,Hynet,19.49607356065278,pipeline,,1380.0
ccgt,Coolkeeragh,Coolkeeragh-ccgt,760.2091978259999,0.04,LP steam,55.044101605460725,-7.2456004745938865,Dublin,206.9382765476166,truck,,413.0
ccgt,Coryton,Coryton-ccgt,538.75672506,0.04,LP steam,51.512140099503746,0.5090066094419239,London,23.64224531023853,pipeline,ship to Bacton,800.0
ccgt,Cottam Development Centre,Cottam Development Centre-ccgt,579.25373385,0.04,LP steam,53.30618410036946,-0.778383386348365,Humberside,70.13802046051339,truck,,455.0
ccgt,Damhead Creek Power Station,Damhead Creek Power Station-ccgt,1025.0580541560003,0.04,LP steam,51.42522509273347,0.6014895994557659,London,31.22909290403437,pipeline,ship to Bacton,805.0
ccgt,Didcot B,Didcot B-ccgt,2803.31215761,0.04,LP steam,51.62318652213568,-1.267868251014206,Bristol,99.84892444889702,truck,ship to Hynet,1450.0
ccgt,Enfield Power Station,Enfield Power Station-ccgt,848.83069347,0.04,LP steam,51.66143955914186,-0.023550682342986733,London,22.128553053020763,pipeline,ship to Bacton,408.0
ccgt,Fellside CHP Plant,Fellside CHP Plant-ccgt,155.6532535776,0.04,LP steam,54.418652141461465,-3.488647529267285,Hynet,119.79344697797968,truck,,155.0
ccgt,Grain CCGT,Grain CCGT-ccgt,1642.807148286,0.04,LP steam,51.44437508488588,0.7128215829851873,London,38.28598218948935,pipeline,ship to Bacton,1517.0
ccgt,Great Yarmouth Power Station,Great Yarmouth Power Station-ccgt,596.2897949400001,0.04,LP steam,52.58475327895021,1.7322365370249377,Bacton,35.4109313165537,pipeline,,420.0
ccgt,Immingham,Immingham-ccgt,2293.466727078,0.04,LP steam,53.640254058823096,-0.2338749902271056,Humberside,24.806291225732203,pipeline,,1252.0
ccgt,Keadby,Keadby-ccgt,1190.6262548340003,0.04,LP steam,53.595052855649655,-0.7398470712086915,Humberside,58.16262324172439,truck,,735.0
ccgt,Kilroot,Kilroot-ccgt,1115.515014546,0.04,LP steam,54.70396100626593,-5.8121666159452,Dublin,157.61149109226932,truck,,700.0
ccgt,Kings Lynn Power Station,Kings Lynn Power Station-ccgt,639.545885214,0.04,LP steam,52.72759626869043,0.38198879668071806,Bacton,74.38294661700822,truck,,395.0
ccgt,Langage Energy Centre,Langage Energy Centre-ccgt,1157.633406996,0.04,LP steam,50.38775766284455,-4.010261204448252,Bristol,155.0936855056466,truck,ship to Hynet,905.0
ccgt,Little Barford,Little Barford-ccgt,922.3704161339999,0.04,LP steam,52.205256220057045,-0.26805992023555575,London,83.74664529897461,truck,ship to Bacton,735.0
ccgt,Marchwood  Power  Station,Marchwood  Power  Station-ccgt,1911.319309962,0.04,LP steam,50.89802698035226,-1.4382716639819555,Bristol,111.44138547948756,truck,ship to Hynet,898.0
ccgt,Medway,Medway-ccgt,644.05898949,0.04,LP steam,51.44042103001953,0.6892738255620992,London,36.7596598403478,pipeline,ship to Bacton,755.0
ccgt,Pembroke Power Station,Pembroke Power Station-ccgt,5291.35873746,0.04,LP steam,51.68379516090135,-5.00018696626738,Pembroke,2.295479893599402,pipeline,ship to Hynet,2200.0
