site-stack,ktCO2f_yr_baseline,ktCO2bio_yr_baseline,ktCO2f_yr_captured,ktCO2bio_yr_captured,ktCO2_yr_cumulative,ktCO2f_yr_residual,EUR/tCO2
Drax-BECCS,0.0,11500.0,0.0,10925.0,75071.5761599752,0.0,226.52467735235098
Damhead Creek Power Station-CCGT,1025.0580541560003,0.0,973.8051514482001,0.0,76045.3813114234,51.252902707800054,231.85673744893683
Cottam Development Centre-CCGT,579.25373385,0.0,550.2910471575,0.0,76595.67235858091,28.96268669250002,238.4264785437255
Great Yarmouth Power Station-CCGT,596.2897949400001,0.0,566.475305193,0.0,77162.14766377391,29.814489747000028,240.02374411190698
Little Barford-CCGT,922.3704161339999,0.0,876.2518953272998,0.0,78038.3995591012,46.11852080670003,240.7682761865762
South Humber-CCGT,1489.9096699680001,0.0,1415.4141864696,0.0,79453.8137455708,74.49548349840006,246.5358647059081
Langage Energy Centre-CCGT,1157.633406996,0.0,1099.7517366462,0.0,80553.565482217,57.881670349800046,250.06663376779827
Gremista-W2E,10.481100000000001,12.058899999999998,9.957045,11.455954999999998,80574.978482217,0.5240550000000005,252.39614319105215
Grain CCGT-CCGT,1642.807148286,0.0,1560.6667908717,0.0,82135.64527308871,82.14035741430007,256.5599052321022
Peterhead Power Station-CCGT,1350.8951019840001,0.0,1283.3503468848,0.0,83418.99561997352,67.54475509920006,275.10766260373396
Connahs Quay Power Station-CCGT,1371.5286758940001,0.0,1302.9522420993,0.0,84721.94786207282,68.57643379470007,279.154529610988
Medway-CCGT,644.05898949,0.0,611.8560400155001,0.0,85333.80390208832,32.20294947450003,311.3769855107457
Coryton-CCGT,538.75672506,0.0,511.8188888069999,0.0,85845.62279089532,26.93783625300002,386.86070716696025
Rye House-CCGT,483.424019364,0.0,459.2528183958,0.0,86304.87560929112,24.171200968200022,392.2355077357521
Isle of Wight-W2E,4.557000000000001,5.242999999999999,4.32915,4.980849999999999,86314.18560929112,0.22785000000000022,394.0218277976513
Rocksavage-CCGT,481.80682494,0.0,457.71648369300004,0.0,86771.90209298412,24.090341247000023,430.7846199439433
